record_id,row_no,description,priority,status,remark,planner,proposer,like_count,created_time,like_users,rating,screenshot_count,problem_image_count,attachment_count,attachment_paths,raw_cells_json
rec27tqRSCY5HJ,1,HUD上有护盾的时候，护盾和血条关联度不高，很难联想到这个是护盾,P2,,,姜勋,仝夏瀛,1,2026-06-04 14:37:35,王嘉西,,0,1,1,"[""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\001_rec27tqRSCY5HJ\\问题描述图片_01_2026-05-27T08-40-49-729Z-f2ivag.jpg""]","{""描述"": ""HUD上有护盾的时候，护盾和血条关联度不高，很难联想到这个是护盾"", ""截图"": null, ""优先级"": [""P2""], ""状态"": null, ""备注"": null, ""策划"": [{""id"": ""ou_867e85cdf78026203200256845dee680"", ""name"": ""姜勋""}], ""提出人"": [{""id"": ""ou_24c7971a3d10e864bce81a21ebe76a41"", ""name"": ""仝夏瀛""}], ""点赞人数"": 1, ""创建时间"": ""2026-06-04 14:37:35"", ""点赞/取消人员列表"": [{""id"": ""ou_23342d843b34735d36e44ee1efe0c37f"", ""name"": ""王嘉西""}], ""问题描述图片"": [{""file_token"": ""LQq0b0xrsoCdrPxGy6yc8qY0nDh"", ""name"": ""2026-05-27T08-40-49-729Z-f2ivag.jpg"", ""size"": 314410}], ""评分"": null}"
rec27u7TzPiVUi,2,查看buff时不响应技能操作了，很奇怪,P1,处理中,,姜勋,仝夏瀛,0,2026-06-04 14:37:35,,,1,1,2,"[""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\002_rec27u7TzPiVUi\\截图_01_20260528104506_rec_.mp4"", ""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\002_rec27u7TzPiVUi\\问题描述图片_01_2026-05-28T02-46-01-854Z-5xx82g.jpg""]","{""描述"": ""查看buff时不响应技能操作了，很奇怪"", ""截图"": [{""file_token"": ""X5NubUv53oJzVcxFFetcfVk2n4e"", ""name"": ""20260528104506_rec_.mp4"", ""size"": 5154336}], ""优先级"": [""P1""], ""状态"": [""处理中""], ""备注"": null, ""策划"": [{""id"": ""ou_867e85cdf78026203200256845dee680"", ""name"": ""姜勋""}], ""提出人"": [{""id"": ""ou_24c7971a3d10e864bce81a21ebe76a41"", ""name"": ""仝夏瀛""}], ""点赞人数"": null, ""创建时间"": ""2026-06-04 14:37:35"", ""点赞/取消人员列表"": null, ""问题描述图片"": [{""file_token"": ""QJ6vbgNA0oIy1qxkmuwcOFVnnVg"", ""name"": ""2026-05-28T02-46-01-854Z-5xx82g.jpg"", ""size"": 554241}], ""评分"": null}"
rec27uvs1MJtLX,3,目前音效裁剪范围偏大，希望可以调整得更小。当前常会出现视野外单位正在战斗，却无法快速定位战斗位置的问题。,P2,,,姜勋,仝夏瀛,0,2026-06-04 14:37:35,,,0,1,1,"[""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\003_rec27uvs1MJtLX\\问题描述图片_01_2026-05-29T01-48-33-674Z-9tb3tk.jpg""]","{""描述"": ""目前音效裁剪范围偏大，希望可以调整得更小。当前常会出现视野外单位正在战斗，却无法快速定位战斗位置的问题。"", ""截图"": null, ""优先级"": [""P2""], ""状态"": null, ""备注"": null, ""策划"": [{""id"": ""ou_867e85cdf78026203200256845dee680"", ""name"": ""姜勋""}], ""提出人"": [{""id"": ""ou_24c7971a3d10e864bce81a21ebe76a41"", ""name"": ""仝夏瀛""}], ""点赞人数"": null, ""创建时间"": ""2026-06-04 14:37:35"", ""点赞/取消人员列表"": null, ""问题描述图片"": [{""file_token"": ""MtWvbSbV5ophA5xu3RUcOjdSnRf"", ""name"": ""2026-05-29T01-48-33-674Z-9tb3tk.jpg"", ""size"": 411460}], ""评分"": null}"
rec27uvUtgPPSD,4,点击同一个目的地坐标时，没有必要弹窗提示“正在前往目的地”，参考其他RTS游戏，这部分正常响应玩家的操作即可,P2,处理中,,姜勋,仝夏瀛,0,2026-06-04 14:37:35,,,1,1,2,"[""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\004_rec27uvUtgPPSD\\截图_01_20260529101406_rec_.mp4"", ""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\004_rec27uvUtgPPSD\\问题描述图片_01_2026-05-29T02-15-29-042Z-gzni2l.jpg""]","{""描述"": ""点击同一个目的地坐标时，没有必要弹窗提示“正在前往目的地”，参考其他RTS游戏，这部分正常响应玩家的操作即可"", ""截图"": [{""file_token"": ""LrLibub57oSJ4wxXYzQcIeqcneb"", ""name"": ""20260529101406_rec_.mp4"", ""size"": 8653955}], ""优先级"": [""P2""], ""状态"": [""处理中""], ""备注"": null, ""策划"": [{""id"": ""ou_867e85cdf78026203200256845dee680"", ""name"": ""姜勋""}], ""提出人"": [{""id"": ""ou_24c7971a3d10e864bce81a21ebe76a41"", ""name"": ""仝夏瀛""}], ""点赞人数"": null, ""创建时间"": ""2026-06-04 14:37:35"", ""点赞/取消人员列表"": null, ""问题描述图片"": [{""file_token"": ""ACjSbm0H2oe9iOxgJcLcXUDTnhf"", ""name"": ""2026-05-29T02-15-29-042Z-gzni2l.jpg"", ""size"": 669843}], ""评分"": null}"
rec27uzHvL4c4T,5,"大锤战斗体验问题：
1.第二个技能可以用类似鲁班大师的提示来提示玩家技能机制是和普攻次数相关的。
2.二技能触发的动作最好是一个特殊的普攻动作，类似DOTA2的大锤
3.放大招后不知道为什么停顿的时间显著的比攻击间隔要长。",P2,,,姜勋,仝夏瀛,0,2026-06-04 14:37:35,,,0,1,1,"[""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\005_rec27uzHvL4c4T\\问题描述图片_01_2026-05-29T05-58-00-005Z-6utayo.jpg""]","{""描述"": ""大锤战斗体验问题：\n1.第二个技能可以用类似鲁班大师的提示来提示玩家技能机制是和普攻次数相关的。\n2.二技能触发的动作最好是一个特殊的普攻动作，类似DOTA2的大锤\n3.放大招后不知道为什么停顿的时间显著的比攻击间隔要长。"", ""截图"": null, ""优先级"": [""P2""], ""状态"": null, ""备注"": null, ""策划"": [{""id"": ""ou_867e85cdf78026203200256845dee680"", ""name"": ""姜勋""}], ""提出人"": [{""id"": ""ou_24c7971a3d10e864bce81a21ebe76a41"", ""name"": ""仝夏瀛""}], ""点赞人数"": null, ""创建时间"": ""2026-06-04 14:37:35"", ""点赞/取消人员列表"": null, ""问题描述图片"": [{""file_token"": ""JINob3pmro253sxLgUwcnYjqnkf"", ""name"": ""2026-05-29T05-58-00-005Z-6utayo.jpg"", ""size"": 644559}], ""评分"": null}"
rec27uCefsOU6o,6,点击技能显示的tips太窄了，文字排版很不好看,P2,,,姜勋,仝夏瀛,0,2026-06-04 14:37:35,,,1,1,2,"[""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\006_rec27uCefsOU6o\\截图_01_image.png"", ""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\006_rec27uCefsOU6o\\问题描述图片_01_2026-05-29T08-26-21-793Z-40oo0g.jpg""]","{""描述"": ""点击技能显示的tips太窄了，文字排版很不好看"", ""截图"": [{""file_token"": ""F9lmbdE9qo1Jz7xzOyAcxlPfn9d"", ""name"": ""image.png"", ""size"": 79938}], ""优先级"": [""P2""], ""状态"": null, ""备注"": null, ""策划"": [{""id"": ""ou_867e85cdf78026203200256845dee680"", ""name"": ""姜勋""}], ""提出人"": [{""id"": ""ou_24c7971a3d10e864bce81a21ebe76a41"", ""name"": ""仝夏瀛""}], ""点赞人数"": null, ""创建时间"": ""2026-06-04 14:37:35"", ""点赞/取消人员列表"": null, ""问题描述图片"": [{""file_token"": ""YYMIbVVzfogw06xEc9VcKKZcnwd"", ""name"": ""2026-05-29T08-26-21-793Z-40oo0g.jpg"", ""size"": 415633}], ""评分"": null}"
rec27uCeLfw5ju,7,主动模组也应该可以点击查看tips,P2,,,姜勋,仝夏瀛,0,2026-06-04 14:37:35,,,1,1,2,"[""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\007_rec27uCeLfw5ju\\截图_01_image.png"", ""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\007_rec27uCeLfw5ju\\问题描述图片_01_2026-05-29T08-26-51-154Z-3k3zl0.jpg""]","{""描述"": ""主动模组也应该可以点击查看tips"", ""截图"": [{""file_token"": ""N2kXbE2cFov91dxvb4lcfHkLnde"", ""name"": ""image.png"", ""size"": 47465}], ""优先级"": [""P2""], ""状态"": null, ""备注"": null, ""策划"": [{""id"": ""ou_867e85cdf78026203200256845dee680"", ""name"": ""姜勋""}], ""提出人"": [{""id"": ""ou_24c7971a3d10e864bce81a21ebe76a41"", ""name"": ""仝夏瀛""}], ""点赞人数"": null, ""创建时间"": ""2026-06-04 14:37:35"", ""点赞/取消人员列表"": null, ""问题描述图片"": [{""file_token"": ""LTN0bAMJDogpICxtLiTcykeOnNg"", ""name"": ""2026-05-29T08-26-51-154Z-3k3zl0.jpg"", ""size"": 371047}], ""评分"": null}"
recvkfPyRoBn5c,8,主界面增加显示体力信息,P1,设计中,[https://project.feishu.cn/t0k6tk/issue/detail/7000058425](https://project.feishu.cn/t0k6tk/issue/detail/7000058425),李尧,仝夏瀛,0,2026-06-04 14:37:35,,,0,1,1,"[""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\008_recvkfPyRoBn5c\\问题描述图片_01_2026-05-27T08-40-12-568Z-4wnm0u.jpg""]","{""描述"": ""主界面增加显示体力信息"", ""截图"": null, ""优先级"": [""P1""], ""状态"": [""设计中""], ""备注"": ""[https://project.feishu.cn/t0k6tk/issue/detail/7000058425](https://project.feishu.cn/t0k6tk/issue/detail/7000058425)"", ""策划"": [{""id"": ""ou_ff6fd02a025c4450056b8e8d725d3408"", ""name"": ""李尧""}], ""提出人"": [{""id"": ""ou_24c7971a3d10e864bce81a21ebe76a41"", ""name"": ""仝夏瀛""}], ""点赞人数"": null, ""创建时间"": ""2026-06-04 14:37:35"", ""点赞/取消人员列表"": null, ""问题描述图片"": [{""file_token"": ""X8X8bebhvoPNfFxSLgIc3Rblnpb"", ""name"": ""2026-05-27T08-40-12-568Z-4wnm0u.jpg"", ""size"": 362364}], ""评分"": null}"
recvkfQlVjKXcQ,9,HUD上方的资源信息增加点击tips,P1,设计中,[https://project.feishu.cn/t0k6tk/issue/detail/7000234571](https://project.feishu.cn/t0k6tk/issue/detail/7000234571),李尧,仝夏瀛,0,2026-06-04 14:37:35,,,1,1,2,"[""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\009_recvkfQlVjKXcQ\\截图_01_image.png"", ""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\009_recvkfQlVjKXcQ\\问题描述图片_01_2026-05-27T08-40-20-665Z-rr97c8.jpg""]","{""描述"": ""HUD上方的资源信息增加点击tips"", ""截图"": [{""file_token"": ""ZTyDbdKVEoTVvrxSp1vcNMOinOh"", ""name"": ""image.png"", ""size"": 68481}], ""优先级"": [""P1""], ""状态"": [""设计中""], ""备注"": ""[https://project.feishu.cn/t0k6tk/issue/detail/7000234571](https://project.feishu.cn/t0k6tk/issue/detail/7000234571)"", ""策划"": [{""id"": ""ou_ff6fd02a025c4450056b8e8d725d3408"", ""name"": ""李尧""}], ""提出人"": [{""id"": ""ou_24c7971a3d10e864bce81a21ebe76a41"", ""name"": ""仝夏瀛""}], ""点赞人数"": null, ""创建时间"": ""2026-06-04 14:37:35"", ""点赞/取消人员列表"": null, ""问题描述图片"": [{""file_token"": ""AKgpbNXkwo37HSxyCmLcPlcNnIh"", ""name"": ""2026-05-27T08-40-20-665Z-rr97c8.jpg"", ""size"": 386122}], ""评分"": null}"
rec27vHEnnmNEb,10,资源溢出后参考三谋字体变红,P2,,,李尧,仝夏瀛,0,2026-06-04 14:37:35,,,1,1,2,"[""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\010_rec27vHEnnmNEb\\截图_01_image.png"", ""C:\\Users\\Administrator\\Documents\\New project\\feishu_base_export\\attachments\\010_rec27vHEnnmNEb\\问题描述图片_01_2026-06-01T02-23-34-719Z-qs6m0z.jpg""]","{""描述"": ""资源溢出后参考三谋字体变红"", ""截图"": [{""file_token"": ""MdhDbyumRoQPGqxrW2pcHt5In4g"", ""name"": ""image.png"", ""size"": 67166}], ""优先级"": [""P2""], ""状态"": null, ""备注"": null, ""策划"": [{""id"": ""ou_ff6fd02a025c4450056b8e8d725d3408"", ""name"": ""李尧""}], ""提出人"": [{""id"": ""ou_24c7971a3d10e864bce81a21ebe76a41"", ""name"": ""仝夏瀛""}], ""点赞人数"": null, ""创建时间"": ""2026-06-04 14:37:35"", ""点赞/取消人员列表"": null, ""问题描述图片"": [{""file_token"": ""RLj6btqCCojZCLxzom6cEvPinXe"", ""name"": ""2026-06-01T02-23-34-719Z-qs6m0z.jpg"", ""size"": 425864}], ""评分"": null}"
