record_id,row_no,field_id,field_name,file_token,original_name,size_bytes,local_path,download_status,download_error
rec27tqRSCY5HJ,1,fldftLhjJK,问题描述图片,LQq0b0xrsoCdrPxGy6yc8qY0nDh,2026-05-27T08-40-49-729Z-f2ivag.jpg,314410,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\001_rec27tqRSCY5HJ\问题描述图片_01_2026-05-27T08-40-49-729Z-f2ivag.jpg,pending,
rec27u7TzPiVUi,2,fldmlme6mj,截图,X5NubUv53oJzVcxFFetcfVk2n4e,20260528104506_rec_.mp4,5154336,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\002_rec27u7TzPiVUi\截图_01_20260528104506_rec_.mp4,pending,
rec27u7TzPiVUi,2,fldftLhjJK,问题描述图片,QJ6vbgNA0oIy1qxkmuwcOFVnnVg,2026-05-28T02-46-01-854Z-5xx82g.jpg,554241,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\002_rec27u7TzPiVUi\问题描述图片_01_2026-05-28T02-46-01-854Z-5xx82g.jpg,pending,
rec27uvs1MJtLX,3,fldftLhjJK,问题描述图片,MtWvbSbV5ophA5xu3RUcOjdSnRf,2026-05-29T01-48-33-674Z-9tb3tk.jpg,411460,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\003_rec27uvs1MJtLX\问题描述图片_01_2026-05-29T01-48-33-674Z-9tb3tk.jpg,pending,
rec27uvUtgPPSD,4,fldmlme6mj,截图,LrLibub57oSJ4wxXYzQcIeqcneb,20260529101406_rec_.mp4,8653955,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\004_rec27uvUtgPPSD\截图_01_20260529101406_rec_.mp4,pending,
rec27uvUtgPPSD,4,fldftLhjJK,问题描述图片,ACjSbm0H2oe9iOxgJcLcXUDTnhf,2026-05-29T02-15-29-042Z-gzni2l.jpg,669843,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\004_rec27uvUtgPPSD\问题描述图片_01_2026-05-29T02-15-29-042Z-gzni2l.jpg,pending,
rec27uzHvL4c4T,5,fldftLhjJK,问题描述图片,JINob3pmro253sxLgUwcnYjqnkf,2026-05-29T05-58-00-005Z-6utayo.jpg,644559,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\005_rec27uzHvL4c4T\问题描述图片_01_2026-05-29T05-58-00-005Z-6utayo.jpg,pending,
rec27uCefsOU6o,6,fldmlme6mj,截图,F9lmbdE9qo1Jz7xzOyAcxlPfn9d,image.png,79938,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\006_rec27uCefsOU6o\截图_01_image.png,pending,
rec27uCefsOU6o,6,fldftLhjJK,问题描述图片,YYMIbVVzfogw06xEc9VcKKZcnwd,2026-05-29T08-26-21-793Z-40oo0g.jpg,415633,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\006_rec27uCefsOU6o\问题描述图片_01_2026-05-29T08-26-21-793Z-40oo0g.jpg,pending,
rec27uCeLfw5ju,7,fldmlme6mj,截图,N2kXbE2cFov91dxvb4lcfHkLnde,image.png,47465,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\007_rec27uCeLfw5ju\截图_01_image.png,pending,
